Nom;Ingrédients
Omelette;œuf:2,sel:1 pincée,poivre:1 pincée,beurre:10g
Pâtes au beurre;pâtes:200g,beurre:30g,sel:1 pincée
Salade de tomates;tomate:2,huile d'olive:1 c.à.s,sel:1 pincée
Crêpes;farine:250g,lait:500ml,œuf:2,beurre fondu:30g,sucre:1 c.à.s
Riz sauté;riz cuit:200g,œuf:1,carotte:1,oignon:1,sauce soja:2 c.à.s,huile:1 c.à.s
Soupe de légumes;carotte:2,pomme de terre:2,oignon:1,eau:1L,sel:1 c.à.c
Gratin de pâtes;pâtes:200g,fromage râpé:100g,crème:20cl,sel:1 pincée
Tarte aux pommes;pâte brisée:1,pomme:3,sucre:50g,beurre:30g
Sandwich au thon;pain de mie:2 tranches,thon:80g,mayo:1 c.à.s,salade:1 feuille
Bananes flambées;banane:1,beurre:10g,sucre:20g,rhum:2 c.à.s
